customer_id,division_name,district_name,farm_size_acres,customer_segment,crop_type,signup_date,acquisition_channel,district_id,division_id
C00083,Barishal,Bhola,3.11,Medium (2-5 acre),Rice (Boro),2026-03-15,Field Dealer Network,DT022,D06
C00084,Rangpur,Dinajpur,1.96,Smallholder (<2 acre),Vegetables,2025-02-09,Field Dealer Network,DT006,D02
C00085,Rajshahi,Pabna,0.83,Smallholder (<2 acre),Vegetables,2025-12-29,Organic Search,DT003,D01
C00086,Rajshahi,Rajshahi,0.53,Smallholder (<2 acre),Maize,2025-09-15,Referral/NGO Partner,DT001,D01
C00087,Barishal,Bhola,1.34,Smallholder (<2 acre),Rice (Boro),2025-09-26,Referral/NGO Partner,DT022,D06
C00088,Mymensingh,Mymensingh,2.96,Medium (2-5 acre),Jute,2026-03-08,Field Dealer Network,DT013,D04
C00089,Rangpur,Gaibandha,3.75,Medium (2-5 acre),Vegetables,2025-01-11,Field Dealer Network,DT008,D02
C00090,Mymensingh,Jamalpur,4.66,Medium (2-5 acre),Potato,2025-11-23,YouTube,DT014,D04
C00091,Rajshahi,Rajshahi,1.55,Smallholder (<2 acre),Jute,2025-01-06,Organic Search,DT001,D01
C00092,Dhaka,Narayanganj,1.15,Smallholder (<2 acre),Rice (Aman),2026-03-11,Field Dealer Network,DT018,D05
C00093,Mymensingh,Netrokona,0.27,Smallholder (<2 acre),Mustard,2026-04-07,Facebook Ads,DT015,D04
C00094,Khulna,Jashore,3.07,Medium (2-5 acre),Rice (Aman),2025-12-25,Referral/NGO Partner,DT010,D03
C00095,Rangpur,Dinajpur,0.2,Smallholder (<2 acre),Rice (Aman),2025-01-09,SMS Campaign,DT006,D02
C00096,Dhaka,Narayanganj,2.72,Medium (2-5 acre),Maize,2025-09-10,Field Dealer Network,DT018,D05
C00097,Khulna,Satkhira,0.2,Smallholder (<2 acre),Maize,2025-10-20,Field Dealer Network,DT011,D03
C00098,Rajshahi,Rajshahi,1.27,Smallholder (<2 acre),Potato,2025-03-20,YouTube,DT001,D01
C00099,Rajshahi,Bogura,2.83,Medium (2-5 acre),Jute,2025-04-08,Direct,DT002,D01
C00100,Sylhet,Habiganj,2.05,Medium (2-5 acre),Rice (Boro),2025-09-04,Direct,DT029,D08
C00101,Chattogram,Chattogram,2.73,Medium (2-5 acre),Rice (Boro),2025-09-24,Referral/NGO Partner,DT023,D07
C00102,Dhaka,Narayanganj,3.71,Medium (2-5 acre),Potato,2025-08-21,Referral/NGO Partner,DT018,D05
C00103,Rangpur,Kurigram,3.71,Medium (2-5 acre),Vegetables,2025-02-06,Field Dealer Network,DT007,D02
C00104,Sylhet,Moulvibazar,1.12,Smallholder (<2 acre),Jute,2025-09-21,Organic Search,DT028,D08
C00105,Barishal,Patuakhali,1.32,Smallholder (<2 acre),Vegetables,2025-04-17,Organic Search,DT021,D06
C00106,Dhaka,Narayanganj,1.79,Smallholder (<2 acre),Maize,2026-04-04,Facebook Ads,DT018,D05
C00107,Mymensingh,Jamalpur,0.55,Smallholder (<2 acre),Rice (Boro),2025-10-27,Direct,DT014,D04
C00108,Rangpur,Kurigram,0.28,Smallholder (<2 acre),Rice (Aman),2025-09-20,Facebook Ads,DT007,D02
C00109,Rajshahi,Bogura,6.4,Large (>5 acre),Rice (Aman),2025-02-04,Facebook Ads,DT002,D01
C00110,Chattogram,Cox'S Bazar,2.16,Medium (2-5 acre),Maize,2025-01-13,Field Dealer Network,DT024,D07
C00111,Mymensingh,Netrokona,1.46,Smallholder (<2 acre),Jute,2026-04-07,Field Dealer Network,DT015,D04
C00112,Rangpur,Gaibandha,1.52,Smallholder (<2 acre),Rice (Aman),2025-05-17,Organic Search,DT008,D02
C00113,Rangpur,Kurigram,1.71,Smallholder (<2 acre),Wheat,2025-05-19,Field Dealer Network,DT007,D02
C00114,Dhaka,Gazipur,1.99,Smallholder (<2 acre),Jute,2025-05-11,Facebook Ads,DT017,D05
C00115,Rangpur,Dinajpur,0.24,Smallholder (<2 acre),Potato,2025-11-12,Field Dealer Network,DT006,D02
C00116,Chattogram,Chattogram,1.15,Smallholder (<2 acre),Potato,2025-06-06,Field Dealer Network,DT023,D07
C00117,Barishal,Barishal,1.45,Smallholder (<2 acre),Maize,2025-10-15,Field Dealer Network,DT020,D06
C00118,Dhaka,Gazipur,2.45,Medium (2-5 acre),Rice (Boro),2025-12-24,Organic Search,DT017,D05
C00119,Khulna,Bagerhat,1.96,Smallholder (<2 acre),Maize,2025-10-19,Referral/NGO Partner,DT012,D03
C00120,Dhaka,Tangail,7.12,Large (>5 acre),Mustard,2025-05-11,Field Dealer Network,DT019,D05
C00121,Dhaka,Tangail,2.21,Medium (2-5 acre),Rice (Boro),2025-09-22,Organic Search,DT019,D05
C00122,Dhaka,Tangail,4.09,Medium (2-5 acre),Potato,2025-02-07,Field Dealer Network,DT019,D05
C00123,Rajshahi,Rajshahi,2.94,Medium (2-5 acre),Rice (Aman),2026-04-19,YouTube,DT001,D01
C00124,Khulna,Khulna,1.79,Smallholder (<2 acre),Jute,2026-04-22,Field Dealer Network,DT009,D03
C00125,Rajshahi,Rajshahi,1.85,Smallholder (<2 acre),Mustard,2026-03-27,Field Dealer Network,DT001,D01
C00126,Mymensingh,Mymensingh,0.44,Smallholder (<2 acre),Maize,2025-12-18,SMS Campaign,DT013,D04
C00127,Khulna,Bagerhat,1.23,Smallholder (<2 acre),Rice (Aman),2025-07-08,Facebook Ads,DT012,D03
C00128,Rajshahi,Rajshahi,2.0,Medium (2-5 acre),Rice (Boro),2025-04-07,Referral/NGO Partner,DT001,D01
C00129,Rajshahi,Bogura,0.75,Smallholder (<2 acre),Vegetables,2025-03-29,Facebook Ads,DT002,D01
C00130,Dhaka,Gazipur,0.95,Smallholder (<2 acre),Wheat,2025-05-27,SMS Campaign,DT017,D05
C00131,Rangpur,Rangpur,2.64,Medium (2-5 acre),Potato,2025-10-04,Organic Search,DT005,D02
C00132,Chattogram,Cox'S Bazar,4.02,Medium (2-5 acre),Potato,2025-10-01,Referral/NGO Partner,DT024,D07
C00133,Dhaka,Gazipur,2.79,Medium (2-5 acre),Rice (Aman),2025-03-05,Referral/NGO Partner,DT017,D05
C00134,Khulna,Satkhira,0.45,Smallholder (<2 acre),Wheat,2025-07-21,Organic Search,DT011,D03
C00135,Dhaka,Dhaka,1.43,Smallholder (<2 acre),Potato,2025-09-09,Organic Search,DT016,D05
C00136,Rajshahi,Pabna,1.57,Smallholder (<2 acre),Mustard,2025-02-05,Organic Search,DT003,D01
C00137,Sylhet,Habiganj,1.49,Smallholder (<2 acre),Tea,2025-04-27,Organic Search,DT029,D08
C00138,Mymensingh,Netrokona,1.91,Smallholder (<2 acre),Jute,2025-07-03,Organic Search,DT015,D04
C00139,Barishal,Barishal,0.63,Smallholder (<2 acre),Rice (Boro),2025-10-20,Direct,DT020,D06
C00140,Rajshahi,Bogura,1.7,Smallholder (<2 acre),Mustard,2026-03-26,SMS Campaign,DT002,D01
C00141,Mymensingh,Mymensingh,2.88,Medium (2-5 acre),Maize,2025-02-02,Field Dealer Network,DT013,D04
C00142,Mymensingh,Mymensingh,3.19,Medium (2-5 acre),Rice (Boro),2026-01-07,Organic Search,DT013,D04
C00143,Chattogram,Feni,2.22,Medium (2-5 acre),Mustard,2026-03-25,Referral/NGO Partner,DT026,D07
C00144,Dhaka,Dhaka,1.46,Smallholder (<2 acre),Maize,2025-01-17,SMS Campaign,DT016,D05
C00145,Mymensingh,Jamalpur,2.15,Medium (2-5 acre),Rice (Boro),2025-06-18,Organic Search,DT014,D04
C00146,Rangpur,Kurigram,2.13,Medium (2-5 acre),Maize,2025-08-05,SMS Campaign,DT007,D02
C00147,Khulna,Jashore,2.16,Medium (2-5 acre),Jute,2025-03-31,Facebook Ads,DT010,D03
C00148,Mymensingh,Netrokona,0.91,Smallholder (<2 acre),Jute,2025-09-01,Organic Search,DT015,D04
C00149,Khulna,Satkhira,1.19,Smallholder (<2 acre),Jute,2026-01-07,SMS Campaign,DT011,D03
C00150,Rajshahi,Natore,7.56,Large (>5 acre),Potato,2025-05-05,SMS Campaign,DT004,D01
C00151,Chattogram,Feni,2.21,Medium (2-5 acre),Rice (Aman),2025-03-22,SMS Campaign,DT026,D07
C00152,Chattogram,Cox'S Bazar,1.7,Smallholder (<2 acre),Mustard,2025-10-10,Field Dealer Network,DT024,D07
C00153,Rajshahi,Rajshahi,1.01,Smallholder (<2 acre),Wheat,2025-07-05,SMS Campaign,DT001,D01
C00154,Mymensingh,Mymensingh,2.02,Medium (2-5 acre),Rice (Boro),2025-02-02,Organic Search,DT013,D04
C00155,Rajshahi,Pabna,2.17,Medium (2-5 acre),Mustard,2025-07-13,Facebook Ads,DT003,D01
C00156,Dhaka,Dhaka,2.97,Medium (2-5 acre),Potato,2025-10-12,Organic Search,DT016,D05
C00157,Rangpur,Rangpur,2.78,Medium (2-5 acre),Mustard,2025-12-16,Field Dealer Network,DT005,D02
C00158,Dhaka,Tangail,4.24,Medium (2-5 acre),Vegetables,2026-03-23,YouTube,DT019,D05
C00159,Barishal,Bhola,0.87,Smallholder (<2 acre),Jute,2025-06-16,Field Dealer Network,DT022,D06
C00160,Barishal,Barishal,2.35,Medium (2-5 acre),Potato,2025-04-02,Organic Search,DT020,D06
C00161,Rajshahi,Pabna,1.35,Smallholder (<2 acre),Rice (Boro),2025-10-14,Referral/NGO Partner,DT003,D01
C00162,Chattogram,Cox'S Bazar,0.75,Smallholder (<2 acre),Potato,2025-02-15,Organic Search,DT024,D07
C00163,Rangpur,Gaibandha,6.43,Large (>5 acre),Jute,2026-02-16,Facebook Ads,DT008,D02
C00164,Rajshahi,Natore,0.75,Smallholder (<2 acre),Wheat,2025-01-30,Organic Search,DT004,D01
C00165,Mymensingh,Jamalpur,1.85,Smallholder (<2 acre),Jute,2025-12-04,Facebook Ads,DT014,D04
C00166,Khulna,Satkhira,1.59,Smallholder (<2 acre),Jute,2025-09-16,Direct,DT011,D03
C00167,Chattogram,Comilla,1.26,Smallholder (<2 acre),Vegetables,2025-05-25,Organic Search,DT025,D07
C00168,Barishal,Bhola,3.2,Medium (2-5 acre),Maize,2025-07-27,Organic Search,DT022,D06
C00169,Khulna,Jashore,1.85,Smallholder (<2 acre),Vegetables,2025-08-03,Field Dealer Network,DT010,D03
C00170,Sylhet,Sylhet,0.43,Smallholder (<2 acre),Potato,2025-12-17,SMS Campaign,DT027,D08
C00171,Rangpur,Gaibandha,2.19,Medium (2-5 acre),Maize,2025-09-11,Organic Search,DT008,D02
C00172,Mymensingh,Mymensingh,2.26,Medium (2-5 acre),Rice (Boro),2026-02-21,Facebook Ads,DT013,D04
C00173,Rangpur,Rangpur,0.81,Smallholder (<2 acre),Wheat,2025-12-07,YouTube,DT005,D02
C00174,Chattogram,Comilla,0.83,Smallholder (<2 acre),Rice (Aman),2026-01-05,Referral/NGO Partner,DT025,D07
C00175,Rangpur,Gaibandha,3.52,Medium (2-5 acre),Vegetables,2025-10-11,Organic Search,DT008,D02
C00176,Rajshahi,Rajshahi,0.97,Smallholder (<2 acre),Mustard,2025-12-19,YouTube,DT001,D01
C00177,Khulna,Satkhira,2.97,Medium (2-5 acre),Maize,2025-06-01,Field Dealer Network,DT011,D03
C00178,Sylhet,Sylhet,2.35,Medium (2-5 acre),Wheat,2025-06-07,Direct,DT027,D08
C00179,Chattogram,Feni,2.04,Medium (2-5 acre),Rice (Boro),2026-02-05,Facebook Ads,DT026,D07
C00180,Barishal,Barishal,2.84,Medium (2-5 acre),Maize,2025-05-20,YouTube,DT020,D06
C00181,Chattogram,Cox'S Bazar,0.68,Smallholder (<2 acre),Rice (Boro),2026-02-12,Organic Search,DT024,D07
C00182,,Cox'S Bazar,0.2,Smallholder (<2 acre),Rice (Boro),2025-05-08,Field Dealer Network,DT024,D07
C00183,Mymensingh,Mymensingh,4.21,Medium (2-5 acre),Potato,2025-07-23,SMS Campaign,DT013,D04
C00184,Khulna,Jashore,2.56,Medium (2-5 acre),Rice (Aman),2025-03-09,Facebook Ads,DT010,D03
C00185,Barishal,Bhola,0.38,Smallholder (<2 acre),Vegetables,2025-09-26,Organic Search,DT022,D06
C00186,Dhaka,Narayanganj,1.29,Smallholder (<2 acre),Rice (Boro),2025-12-19,SMS Campaign,DT018,D05
C00187,Khulna,Khulna,1.2,Smallholder (<2 acre),Maize,2025-12-09,Organic Search,DT009,D03
C00188,Rajshahi,Pabna,2.41,Medium (2-5 acre),Mustard,2026-02-18,Field Dealer Network,DT003,D01
C00189,Barishal,Patuakhali,2.23,Medium (2-5 acre),Mustard,2026-03-07,Organic Search,DT021,D06
C00190,Rangpur,Dinajpur,1.91,Smallholder (<2 acre),Mustard,2025-08-20,Facebook Ads,DT006,D02
C00191,Chattogram,Comilla,7.19,Large (>5 acre),Potato,2026-02-05,Field Dealer Network,DT025,D07
C00192,Rangpur,Dinajpur,3.98,Medium (2-5 acre),Maize,2025-06-08,Organic Search,DT006,D02
C00193,Rajshahi,Bogura,4.81,Medium (2-5 acre),Maize,2026-01-26,Referral/NGO Partner,DT002,D01
C00194,Chattogram,Feni,0.39,Smallholder (<2 acre),Vegetables,2026-02-15,Organic Search,DT026,D07
C00195,Rajshahi,Rajshahi,9.24,Large (>5 acre),Maize,2025-05-24,Referral/NGO Partner,DT001,D01
C00196,Rangpur,Rangpur,4.84,Medium (2-5 acre),Maize,2025-02-04,Organic Search,DT005,D02
C00197,Dhaka,Gazipur,0.77,Smallholder (<2 acre),Vegetables,2025-05-29,Organic Search,DT017,D05
C00198,Chattogram,Comilla,3.12,Medium (2-5 acre),Rice (Aman),2025-03-01,Referral/NGO Partner,DT025,D07
C00199,Rangpur,Gaibandha,0.61,Smallholder (<2 acre),Mustard,2025-08-15,Field Dealer Network,DT008,D02
C00200,Khulna,Satkhira,4.14,Medium (2-5 acre),Vegetables,2025-05-24,Direct,DT011,D03
C00201,Barishal,Bhola,2.6,Medium (2-5 acre),Potato,2025-08-30,Organic Search,DT022,D06
C00202,Sylhet,Moulvibazar,1.34,Smallholder (<2 acre),Maize,2025-04-25,Organic Search,DT028,D08
C00203,Mymensingh,Mymensingh,5.15,Large (>5 acre),Maize,2025-12-30,Referral/NGO Partner,DT013,D04
C00204,Rajshahi,Rajshahi,1.01,Smallholder (<2 acre),Jute,2025-02-03,SMS Campaign,DT001,D01
C00205,Rajshahi,Natore,0.4,Smallholder (<2 acre),Wheat,2026-03-08,Referral/NGO Partner,DT004,D01
C00206,Rangpur,Rangpur,0.37,Smallholder (<2 acre),Potato,2026-04-09,Referral/NGO Partner,DT005,D02
C00207,Rajshahi,Bogura,3.03,Medium (2-5 acre),Mustard,2025-07-03,Field Dealer Network,DT002,D01
C00208,Dhaka,Gazipur,0.63,Smallholder (<2 acre),Potato,2025-08-21,Field Dealer Network,DT017,D05
C00209,Rajshahi,Bogura,1.27,Smallholder (<2 acre),Vegetables,2026-01-02,Referral/NGO Partner,DT002,D01
C00210,Mymensingh,Mymensingh,0.86,Smallholder (<2 acre),Rice (Boro),2026-01-18,Field Dealer Network,DT013,D04
C00211,Dhaka,Gazipur,1.17,Smallholder (<2 acre),Maize,2026-04-18,Field Dealer Network,DT017,D05
C00212,Dhaka,Dhaka,0.45,Smallholder (<2 acre),Potato,2025-04-18,Field Dealer Network,DT016,D05
C00213,Rangpur,Kurigram,2.86,Medium (2-5 acre),Jute,2025-05-24,Referral/NGO Partner,DT007,D02
C00214,Barishal,Patuakhali,5.03,Large (>5 acre),Maize,2025-09-09,Organic Search,DT021,D06
C00215,Dhaka,Dhaka,1.13,Smallholder (<2 acre),Jute,2025-03-19,Facebook Ads,DT016,D05
C00216,Barishal,Bhola,3.71,Medium (2-5 acre),Maize,2025-02-21,SMS Campaign,DT022,D06
C00217,Rajshahi,Bogura,0.76,Smallholder (<2 acre),Maize,2026-01-23,Organic Search,DT002,D01
C00218,Rajshahi,Natore,1.93,Smallholder (<2 acre),Mustard,2026-03-23,Organic Search,DT004,D01
C00219,Chattogram,Comilla,8.57,Large (>5 acre),Maize,2025-12-28,Referral/NGO Partner,DT025,D07
C00220,Khulna,Bagerhat,3.26,Medium (2-5 acre),Maize,2026-04-06,YouTube,DT012,D03
C00221,Rangpur,Rangpur,1.31,Smallholder (<2 acre),Mustard,2025-11-15,Field Dealer Network,DT005,D02
C00222,Mymensingh,Netrokona,0.26,Smallholder (<2 acre),Wheat,2025-07-23,SMS Campaign,DT015,D04
C00223,Dhaka,Dhaka,0.61,Smallholder (<2 acre),Rice (Aman),2025-06-24,Organic Search,DT016,D05
C00224,Sylhet,Moulvibazar,4.43,Medium (2-5 acre),Jute,2025-03-20,Organic Search,DT028,D08
C00225,Rangpur,Gaibandha,2.79,Medium (2-5 acre),Mustard,2026-04-11,Referral/NGO Partner,DT008,D02
C00226,Chattogram,Comilla,2.15,Medium (2-5 acre),Vegetables,2025-10-28,Direct,DT025,D07
C00227,Rajshahi,Rajshahi,2.16,Medium (2-5 acre),Vegetables,2026-03-17,Organic Search,DT001,D01
C00228,Mymensingh,Netrokona,1.99,Smallholder (<2 acre),Vegetables,2025-09-04,Facebook Ads,DT015,D04
C00229,Dhaka,Gazipur,1.83,Smallholder (<2 acre),Vegetables,2025-03-08,Organic Search,DT017,D05
C00230,Rajshahi,Pabna,0.95,Smallholder (<2 acre),Rice (Aman),2025-06-04,Referral/NGO Partner,DT003,D01
C00231,Rajshahi,Bogura,1.16,Smallholder (<2 acre),Mustard,2026-01-03,Organic Search,DT002,D01
C00232,Khulna,Khulna,3.67,Medium (2-5 acre),Maize,2025-05-07,Referral/NGO Partner,DT009,D03
C00233,Sylhet,Moulvibazar,2.39,Medium (2-5 acre),Wheat,2025-02-25,Organic Search,DT028,D08
C00234,Dhaka,Narayanganj,2.16,Medium (2-5 acre),Potato,2025-02-18,Field Dealer Network,DT018,D05
C00235,Chattogram,Chattogram,4.72,Medium (2-5 acre),Maize,2025-11-06,Referral/NGO Partner,DT023,D07
C00236,Barishal,Barishal,5.71,Large (>5 acre),Rice (Aman),2025-12-04,Organic Search,DT020,D06
C00237,Mymensingh,Netrokona,6.05,Large (>5 acre),Maize,2025-05-19,Organic Search,DT015,D04
