traffic_id,date,division_id,division_name,channel,device_category,sessions,new_users,total_users,bounce_rate_pct,avg_session_duration_sec,conversions,conversion_rate_pct
40,2025-01-01,D06,Barishal,SMS Campaign,Mobile,14,9,12,60.3,106.0,0.0,1.88
41,2025-01-01,D06,Barishal,Direct,Mobile,12,7,11,56.9,115.0,0.0,1.71
42,2025-01-01,D06,Barishal,Google Ads,Mobile,13,8,12,48.3,88.0,0.0,1.33
43,2025-01-01,D07,Chattogram,Organic Search,Mobile,51,31,44,46.1,80.0,1.0,1.94
44,2025-01-01,D07,Chattogram,Direct,Mobile,44,32,40,50.4,82.0,1.0,1.47
45,2025-01-01,D07,Chattogram,Google Ads,Mobile,27,16,25,47.7,157.0,0.0,1.65
46,2025-01-01,D07,Chattogram,SMS Campaign,Mobile,27,17,25,45.8,98.0,0.0,1.55
47,2025-01-01,D07,Chattogram,Referral/Ngo Partner,Mobile,27,19,24,45.8,73.0,0.0,1.63
48,2025-01-01,D07,Chattogram,SMS Campaign,Mobile,19,12,18,61.1,97.0,0.0,2.16
49,2025-01-01,D07,Chattogram,Direct,Mobile,18,12,16,56.1,69.0,0.0,1.61
50,2025-01-01,D08,Sylhet,Organic Search,Mobile,26,17,25,54.6,84.0,0.0,1.34
51,2025-01-01,D08,Sylhet,Organic Search,Mobile,29,21,27,42.2,77.0,0.0,1.09
52,2025-01-01,D08,Sylhet,Facebook Ads,Mobile,10,6,9,50.5,50.0,0.0,1.31
53,2025-01-01,D08,Sylhet,Youtube,Desktop,16,11,15,42.1,65.0,0.0,1.28
54,2025-01-01,D08,Sylhet,SMS Campaign,Mobile,11,8,10,34.5,76.0,0.0,1.14
55,2025-01-01,D08,Sylhet,Organic Search,Mobile,7,4,6,48.1,109.0,0.0,1.33
56,2025-01-01,D08,Sylhet,Direct,Mobile,9,7,9,45.8,124.0,0.0,1.08
57,2025-01-02,D01,Rajshahi,Organic Search,Desktop,55,43,49,61.1,82.0,1.0,1.94
58,2025-01-02,D01,Rajshahi,Google Ads,Mobile,93,60,86,26.8,96.0,2.0,2.11
59,2025-01-02,D01,Rajshahi,SMS Campaign,Mobile,49,29,47,41.4,114.0,1.0,1.92
60,2025-01-02,D01,Rajshahi,Organic Search,Mobile,32,18,30,57.0,76.0,1.0,2.43
61,2025-01-02,D01,Rajshahi,Referral/Ngo Partner,Mobile,27,16,25,49.5,77.0,1.0,2.38
62,2025-01-02,D01,Rajshahi,Google Ads,Mobile,18,14,16,46.0,92.0,0.0,2.28
63,2025-01-02,D01,Rajshahi,Direct,Mobile,22,17,21,45.8,64.0,0.0,1.72
64,2025-01-02,D02,Rangpur,Referral/Ngo Partner,Mobile,54,38,46,52.1,86.0,1.0,2.19
65,2025-01-02,D02,Rangpur,Google Ads,Mobile,95,65,91,47.4,89.0,2.0,2.26
66,2025-01-02,D02,Rangpur,Facebook Ads,Mobile,37,27,32,45.8,133.0,1.0,2.46
67,2025-01-02,D02,Rangpur,Direct,Mobile,30,20,26,46.0,61.0,1.0,2.17
68,2025-01-02,D02,Rangpur,Direct,Mobile,28,20,26,61.7,101.0,0.0,1.69
69,2025-01-02,D02,Rangpur,Direct,Mobile,17,11,15,46.2,91.0,0.0,1.96
70,2025-01-02,D02,Rangpur,Facebook Ads,Mobile,25,15,22,55.2,61.0,0.0,1.66
71,2025-01-02,D03,Khulna,Direct,Mobile,59,42,53,45.1,90.0,1.0,2.28
72,2025-01-02,D03,Khulna,Direct,Mobile,67,49,60,55.1,97.0,1.0,1.87
73,2025-01-02,D03,Khulna,Google Ads,Mobile,29,21,28,48.3,58.0,1.0,2.82
74,2025-01-02,D03,Khulna,Facebook Ads,Mobile,25,20,24,55.9,78.0,1.0,2.2
75,2025-01-02,D03,Khulna,Google Ads,Mobile,24,14,21,49.7,91.0,0.0,2.02
76,2025-01-02,D03,Khulna,Facebook Ads,Mobile,18,13,16,51.3,103.0,0.0,2.1
77,2025-01-02,D03,Khulna,SMS Campaign,Mobile,15,10,13,56.4,104.0,0.0,2.09
78,2025-01-02,D04,Mymensingh,SMS Campaign,Mobile,36,23,34,43.8,117.0,1.0,1.95
79,2025-01-02,D04,Mymensingh,Direct,Mobile,84,65,77,56.5,96.0,2.0,2.44
80,2025-01-02,D04,Mymensingh,Google Ads,Mobile,37,21,32,48.8,82.0,1.0,2.1
81,2025-01-02,D04,Mymensingh,Facebook Ads,Desktop,29,21,28,37.9,52.0,1.0,2.29
82,2025-01-02,D04,Mymensingh,Direct,Mobile,21,14,20,50.6,99.0,0.0,1.25
83,2025-01-02,D04,Mymensingh,Youtube,Mobile,16,12,14,39.8,86.0,0.0,1.61
84,2025-01-02,D04,Mymensingh,Facebook Ads,Mobile,21,12,18,56.3,125.0,1.0,2.46
85,2025-01-02,D05,Dhaka,Organic Search,Desktop,68,45,63,46.9,86.0,1.0,1.99
86,2025-01-02,D05,Dhaka,Organic Search,Desktop,79,51,74,50.9,82.0,2.0,2.18
87,2025-01-02,D05,Dhaka,SMS Campaign,Mobile,43,31,39,47.5,64.0,1.0,1.66
88,2025-01-02,D05,Dhaka,Referral/Ngo Partner,Desktop,37,29,33,47.4,114.0,1.0,1.41
89,2025-01-02,D05,Dhaka,SMS Campaign,Mobile,30,19,26,38.0,92.0,0.0,1.4
90,2025-01-02,D05,Dhaka,Facebook Ads,Mobile,16,9,14,45.5,57.0,0.0,1.83
91,2025-01-02,D05,Dhaka,Facebook Ads,Desktop,19,15,18,55.8,123.0,0.0,1.66
92,2025-01-02,D06,Barishal,SMS Campaign,Mobile,48,36,46,50.8,65.0,1.0,1.57
93,2025-01-02,D06,Barishal,SMS Campaign,Mobile,43,28,40,45.4,65.0,1.0,2.09
94,2025-01-02,D06,Barishal,Google Ads,Mobile,23,17,22,47.9,130.0,0.0,1.93
95,2025-01-02,D06,Barishal,Referral/Ngo Partner,Mobile,19,13,17,36.7,109.0,0.0,1.67
96,2025-01-02,D06,Barishal,Youtube,Mobile,17,13,16,43.2,83.0,0.0,1.68
97,2025-01-02,D06,Barishal,Organic Search,Mobile,16,11,14,47.0,81.0,0.0,2.15
98,2025-01-02,D06,Barishal,Youtube,Mobile,14,9,13,52.3,110.0,0.0,2.02
99,2025-01-02,D07,Chattogram,Google Ads,Mobile,67,43,65,60.7,57.0,1.0,1.34
100,2025-01-02,D07,Chattogram,Facebook Ads,Desktop,89,52,82,36.0,83.0,1.0,1.22
101,2025-01-02,D07,Chattogram,Youtube,Mobile,21,13,20,54.4,91.0,0.0,1.85
102,2025-01-02,D07,Chattogram,Referral/Ngo Partner,Mobile,24,14,23,45.8,117.0,0.0,1.78
103,2025-01-02,D07,Chattogram,Facebook Ads,Mobile,22,16,20,46.2,78.0,0.0,1.93
104,2025-01-02,D07,Chattogram,Organic Search,Mobile,12,7,11,54.3,54.0,0.0,2.04
105,2025-01-02,D07,Chattogram,Facebook Ads,Mobile,14,9,13,54.7,135.0,0.0,1.48
106,2025-01-02,D08,Sylhet,SMS Campaign,Mobile,16,10,14,54.9,127.0,0.0,1.49
107,2025-01-02,D08,Sylhet,Youtube,Mobile,40,26,37,35.6,121.0,1.0,1.26
108,2025-01-02,D08,Sylhet,Organic Search,Mobile,14,8,13,38.7,142.0,0.0,1.5
109,2025-01-02,D08,Sylhet,Facebook Ads,Desktop,12,8,10,49.9,62.0,0.0,1.29
110,2025-01-02,D08,Sylhet,SMS Campaign,Mobile,8,6,8,49.2,45.0,0.0,1.18
111,2025-01-02,D08,Sylhet,SMS Campaign,Mobile,8,5,7,50.2,127.0,0.0,1.17
112,2025-01-02,D08,Sylhet,Google Ads,Mobile,7,6,6,31.7,84.0,0.0,1.58
113,2025-01-03,D01,Rajshahi,Referral/Ngo Partner,Mobile,84,51,79,56.6,98.0,2.0,2.13
114,2025-01-03,D01,Rajshahi,Youtube,Desktop,94,69,91,45.8,107.0,2.0,1.9
115,2025-01-03,D01,Rajshahi,Facebook Ads,Mobile,27,17,25,45.8,111.0,1.0,2.57
116,2025-01-03,D01,Rajshahi,Direct,Mobile,30,19,26,44.6,105.0,1.0,2.16
117,2025-01-03,D01,Rajshahi,Direct,Mobile,28,18,26,51.2,77.0,1.0,2.22
118,2025-01-03,D01,Rajshahi,Google Ads,Mobile,20,13,18,55.1,114.0,1.0,2.66
119,2025-01-03,D01,Rajshahi,Google Ads,Mobile,29,18,27,51.4,126.0,1.0,1.74
120,2025-01-03,D02,Rangpur,Organic Search,Desktop,69,45,62,68.6,105.0,1.0,1.87
121,2025-01-03,D02,Rangpur,Direct,Mobile,81,59,73,50.7,83.0,2.0,2.73
122,2025-01-03,D02,Rangpur,Facebook Ads,Mobile,36,28,33,55.7,106.0,1.0,2.43
123,2025-01-03,D02,Rangpur,Google Ads,Mobile,36,28,35,38.0,72.0,1.0,2.36
124,2025-01-03,D02,Rangpur,Organic Search,Desktop,27,21,25,45.4,68.0,1.0,1.94
125,2025-01-03,D02,Rangpur,Youtube,Mobile,16,9,14,46.3,142.0,0.0,1.98
126,2025-01-03,D02,Rangpur,Google Ads,Mobile,20,15,18,38.6,65.0,0.0,2.16
127,2025-01-03,D03,Khulna,Direct,Mobile,40,31,36,46.4,122.0,1.0,1.96
128,2025-01-03,D03,Khulna,SMS Campaign,Mobile,94,56,91,49.0,74.0,2.0,2.23
129,2025-01-03,D03,Khulna,Organic Search,Mobile,24,15,21,51.3,116.0,1.0,2.25
130,2025-01-03,D03,Khulna,SMS Campaign,Mobile,31,17,29,45.8,93.0,1.0,1.84
131,2025-01-03,D03,Khulna,Referral/Ngo Partner,Mobile,14,9,13,41.8,105.0,0.0,1.92
132,2025-01-03,D03,Khulna,Organic Search,Mobile,18,11,17,43.1,84.0,0.0,2.3
133,2025-01-03,D03,Khulna,Direct,Mobile,19,14,17,41.9,49.0,0.0,2.26
134,2025-01-03,D04,Mymensingh,Youtube,Mobile,37,26,34,51.6,85.0,1.0,1.8
135,2025-01-03,D04,Mymensingh,Referral/Ngo Partner,Mobile,72,53,63,41.5,106.0,2.0,2.25
136,2025-01-03,D04,Mymensingh,Organic Search,Desktop,30,17,28,55.7,77.0,1.0,2.45
137,2025-01-03,D04,Mymensingh,Direct,Desktop,23,15,20,42.7,86.0,1.0,2.46
138,2025-01-03,D04,Mymensingh,Facebook Ads,Mobile,16,11,15,45.0,154.0,0.0,2.17
139,2025-01-03,D04,Mymensingh,SMS Campaign,Desktop,18,12,16,38.0,84.0,0.0,2.43
140,2025-01-03,D04,Mymensingh,Youtube,Mobile,15,11,14,44.3,88.0,0.0,2.38
141,2025-01-03,D05,Dhaka,Facebook Ads,Mobile,47,32,41,36.8,88.0,1.0,1.35
142,2025-01-03,D05,Dhaka,Organic Search,Mobile,128,101,122,41.7,101.0,2.0,1.46
143,2025-01-03,D05,Dhaka,Direct,Mobile,52,29,44,42.3,124.0,0.0,0.87
144,2025-01-03,D05,Dhaka,Direct,Mobile,33,22,31,55.2,60.0,1.0,2.23
145,2025-01-03,D05,Dhaka,SMS Campaign,Mobile,32,24,29,45.5,94.0,1.0,1.75
146,2025-01-03,D05,Dhaka,Google Ads,Mobile,19,15,18,43.1,66.0,0.0,1.59
147,2025-01-03,D05,Dhaka,Referral/Ngo Partner,Mobile,24,15,21,50.8,95.0,0.0,1.91
148,2025-01-03,D06,Barishal,Youtube,Desktop,44,26,38,51.7,48.0,1.0,1.9
149,2025-01-03,D06,Barishal,Google Ads,Mobile,52,32,45,55.8,176.0,1.0,2.01
150,2025-01-03,D06,Barishal,Direct,Mobile,27,16,25,40.4,93.0,1.0,1.91
151,2025-01-03,D06,Barishal,SMS Campaign,Mobile,18,12,17,56.5,60.0,0.0,2.3
152,2025-01-03,D06,Barishal,SMS Campaign,Desktop,10,7,9,47.8,93.0,0.0,1.65
153,2025-01-03,D06,Barishal,Referral/Ngo Partner,Mobile,13,8,13,46.9,71.0,0.0,1.27
154,2025-01-03,D06,Barishal,Organic Search,Mobile,11,6,11,37.3,130.0,0.0,1.74
155,2025-01-03,D07,Chattogram,SMS Campaign,Mobile,44,31,41,43.9,100.0,1.0,1.27
156,2025-01-03,D07,Chattogram,Referral/Ngo Partner,Desktop,55,36,48,54.3,72.0,1.0,1.85
157,2025-01-03,D07,Chattogram,Referral/Ngo Partner,Mobile,25,16,22,44.2,96.0,0.0,1.67
158,2025-01-03,D07,Chattogram,Direct,Mobile,23,16,21,43.2,69.0,0.0,1.64
159,2025-01-03,D07,Chattogram,Organic Search,Mobile,20,16,18,51.8,35.0,0.0,1.9
160,2025-01-03,D07,Chattogram,Referral/Ngo Partner,Mobile,11,6,11,58.1,113.0,0.0,1.79
161,2025-01-03,D07,Chattogram,Facebook Ads,Mobile,18,13,17,48.9,83.0,0.0,1.92
162,2025-01-03,D08,Sylhet,Google Ads,Mobile,27,16,23,49.8,67.0,0.0,1.33
163,2025-01-03,D08,Sylhet,Referral/Ngo Partner,Mobile,30,22,26,43.4,95.0,0.0,1.25
164,2025-01-03,D08,Sylhet,Direct,Mobile,19,14,16,48.9,105.0,0.0,1.21
165,2025-01-03,D08,Sylhet,Youtube,Mobile,10,6,9,45.9,81.0,0.0,1.88
166,2025-01-03,D08,Sylhet,Referral/Ngo Partner,Mobile,6,3,5,56.0,78.0,0.0,1.55
167,2025-01-03,D08,Sylhet,Facebook Ads,Mobile,7,5,6,53.3,105.0,0.0,1.17
168,2025-01-03,D08,Sylhet,SMS Campaign,Mobile,12,8,10,53.2,108.0,0.0,1.35
169,2025-01-04,D01,Rajshahi,Referral/Ngo Partner,Mobile,84,61,75,43.8,105.0,2.0,2.08
170,2025-01-04,D01,Rajshahi,Organic Search,Mobile,136,87,131,42.8,98.0,4.0,2.91
171,2025-01-04,D01,Rajshahi,Referral/Ngo Partner,Mobile,34,19,29,42.9,117.0,1.0,1.93
172,2025-01-04,D01,Rajshahi,Direct,Desktop,25,18,24,38.6,133.0,0.0,1.62
173,2025-01-04,D01,Rajshahi,Facebook Ads,Mobile,28,21,27,60.2,70.0,1.0,2.04
174,2025-01-04,D01,Rajshahi,Referral/Ngo Partner,Desktop,22,14,21,46.0,89.0,1.0,2.34
175,2025-01-04,D01,Rajshahi,Facebook Ads,Mobile,32,21,29,41.0,63.0,1.0,1.82
176,2025-01-04,D02,Rangpur,Direct,Desktop,63,45,60,42.1,112.0,1.0,1.85
177,2025-01-04,D02,Rangpur,Organic Search,Mobile,80,51,75,47.4,59.0,1.0,1.74
178,2025-01-04,D02,Rangpur,Youtube,Desktop,46,37,44,42.8,81.0,1.0,1.84
179,2025-01-04,D02,Rangpur,Referral/Ngo Partner,Mobile,33,21,28,55.5,128.0,1.0,2.31
180,2025-01-04,D02,Rangpur,Referral/Ngo Partner,Desktop,27,15,26,50.4,102.0,1.0,2.14
181,2025-01-04,D02,Rangpur,Facebook Ads,Mobile,14,8,12,39.6,76.0,0.0,1.58
182,2025-01-04,D02,Rangpur,Referral/Ngo Partner,Mobile,18,12,16,44.0,88.0,0.0,1.69
183,2025-01-04,D03,Khulna,SMS Campaign,Desktop,86,68,76,44.3,94.0,2.0,2.14
184,2025-01-04,D03,Khulna,Direct,Mobile,82,58,78,50.2,66.0,2.0,2.33
185,2025-01-04,D03,Khulna,Youtube,Desktop,22,14,19,52.2,89.0,1.0,2.68
186,2025-01-04,D03,Khulna,Organic Search,Mobile,22,14,20,40.7,141.0,0.0,2.1
187,2025-01-04,D03,Khulna,Facebook Ads,Mobile,20,12,18,54.6,103.0,0.0,1.77
188,2025-01-04,D03,Khulna,Direct,Mobile,15,9,14,51.8,98.0,0.0,2.13
189,2025-01-04,D03,Khulna,Youtube,Mobile,17,13,16,51.8,89.0,0.0,2.4
190,2025-01-04,D04,Mymensingh,Organic Search,Mobile,49,38,44,49.4,56.0,1.0,1.78
191,2025-01-04,D04,Mymensingh,Youtube,Mobile,66,38,58,47.3,111.0,2.0,2.84
192,2025-01-04,D04,Mymensingh,SMS Campaign,Mobile,26,18,23,44.2,81.0,1.0,2.41
193,2025-01-04,D04,Mymensingh,Direct,Mobile,17,12,16,51.6,124.0,1.0,2.95
194,2025-01-04,D04,Mymensingh,Youtube,Mobile,18,14,16,47.2,85.0,0.0,1.27
195,2025-01-04,D04,Mymensingh,Direct,Mobile,14,8,13,40.5,89.0,0.0,1.44
196,2025-01-04,D04,Mymensingh,Youtube,Mobile,20,11,17,36.2,89.0,0.0,1.95
197,2025-01-04,D05,Dhaka,Facebook Ads,Desktop,81,46,75,45.8,128.0,1.0,1.43
198,2025-01-04,D05,Dhaka,Direct,Mobile,105,59,95,48.6,122.0,2.0,1.68
199,2025-01-04,D05,Dhaka,SMS Campaign,Desktop,43,34,37,50.8,94.0,1.0,1.6
200,2025-01-04,D05,Dhaka,Direct,Desktop,42,33,38,37.8,94.0,1.0,1.87
201,2025-01-04,D05,Dhaka,Facebook Ads,Mobile,27,20,24,54.7,120.0,1.0,2.1
202,2025-01-04,D05,Dhaka,Referral/Ngo Partner,Mobile,15,10,14,57.4,127.0,0.0,2.2
203,2025-01-04,D05,Dhaka,Facebook Ads,Mobile,25,15,23,45.8,100.0,0.0,1.71
204,2025-01-04,D06,Barishal,Referral/Ngo Partner,Mobile,44,32,39,49.1,125.0,1.0,2.18
205,2025-01-04,D06,Barishal,Referral/Ngo Partner,Desktop,75,51,68,51.2,95.0,1.0,1.5
206,2025-01-04,D06,Barishal,Facebook Ads,Mobile,20,13,17,45.8,81.0,0.0,1.83
207,2025-01-04,D06,Barishal,Referral/Ngo Partner,Mobile,16,10,15,39.7,109.0,0.0,2.11
208,2025-01-04,D06,Barishal,SMS Campaign,Desktop,19,12,18,34.0,83.0,0.0,1.92
209,2025-01-04,D06,Barishal,Facebook Ads,Mobile,15,10,13,46.4,82.0,0.0,1.56
210,2025-01-04,D06,Barishal,Google Ads,Mobile,13,9,12,54.6,67.0,0.0,1.27
211,2025-01-04,D07,Chattogram,Referral/Ngo Partner,Mobile,83,60,76,50.5,113.0,1.0,1.35
212,2025-01-04,D07,Chattogram,Organic Search,Mobile,67,52,59,54.9,76.0,1.0,1.26
213,2025-01-04,D07,Chattogram,Organic Search,Mobile,19,15,17,51.5,121.0,0.0,1.86
214,2025-01-04,D07,Chattogram,Organic Search,Mobile,22,16,19,53.7,93.0,0.0,2.14
215,2025-01-04,D07,Chattogram,Organic Search,Mobile,25,15,24,51.3,102.0,0.0,1.79
216,2025-01-04,D07,Chattogram,Google Ads,Mobile,13,10,11,53.1,64.0,0.0,1.64
217,2025-01-04,D07,Chattogram,Google Ads,Mobile,20,12,19,50.8,96.0,0.0,2.04
218,2025-01-04,D08,Sylhet,SMS Campaign,Mobile,17,12,15,37.4,91.0,0.0,1.54
219,2025-01-04,D08,Sylhet,Direct,Mobile,49,32,42,40.7,105.0,1.0,1.27
220,2025-01-04,D08,Sylhet,Direct,Mobile,22,13,20,53.8,140.0,0.0,1.52
221,2025-01-04,D08,Sylhet,Referral/Ngo Partner,Mobile,13,8,12,38.2,75.0,0.0,1.3
222,2025-01-04,D08,Sylhet,SMS Campaign,Mobile,9,7,8,51.9,64.0,0.0,1.63
223,2025-01-04,D08,Sylhet,Google Ads,Mobile,10,6,9,54.2,20.0,0.0,1.26
224,2025-01-04,D08,Sylhet,Referral/Ngo Partner,Mobile,10,6,9,32.8,105.0,0.0,0.93
225,2025-01-05,D01,Rajshahi,Organic Search,Mobile,88,49,78,46.7,101.0,2.0,1.74
226,2025-01-05,D01,Rajshahi,Referral/Ngo Partner,Mobile,65,48,59,46.7,102.0,1.0,1.9
227,2025-01-05,D01,Rajshahi,Organic Search,Mobile,41,31,36,54.0,109.0,1.0,2.24
228,2025-01-05,D01,Rajshahi,Referral/Ngo Partner,Mobile,22,13,19,46.8,109.0,0.0,2.11
229,2025-01-05,D01,Rajshahi,Youtube,Mobile,20,15,19,50.3,48.0,0.0,2.21
230,2025-01-05,D01,Rajshahi,Google Ads,Mobile,18,12,15,38.1,78.0,0.0,1.63
231,2025-01-05,D01,Rajshahi,SMS Campaign,Mobile,24,16,23,51.6,95.0,0.0,2.01
232,2025-01-05,D02,Rangpur,Referral/Ngo Partner,Desktop,63,48,55,48.5,92.0,2.0,3.07
233,2025-01-05,D02,Rangpur,Referral/Ngo Partner,Mobile,84,56,80,45.9,116.0,2.0,1.96
234,2025-01-05,D02,Rangpur,Referral/Ngo Partner,Mobile,34,21,29,45.7,97.0,1.0,2.28
235,2025-01-05,D02,Rangpur,Direct,Mobile,29,21,27,43.8,114.0,1.0,2.51
236,2025-01-05,D02,Rangpur,Direct,Mobile,20,12,19,46.1,81.0,0.0,2.28
237,2025-01-05,D02,Rangpur,Google Ads,Desktop,17,11,16,43.4,100.0,0.0,2.15
238,2025-01-05,D02,Rangpur,Facebook Ads,Mobile,23,13,22,48.7,46.0,1.0,2.5
239,2025-01-05,D03,Khulna,Referral/Ngo Partner,Desktop,46,35,43,52.1,83.0,1.0,2.36
240,2025-01-05,D03,Khulna,SMS Campaign,Mobile,61,39,54,57.0,146.0,1.0,2.17
241,2025-01-05,D03,Khulna,SMS Campaign,Mobile,31,21,28,44.6,131.0,1.0,1.77
242,2025-01-05,D03,Khulna,SMS Campaign,Mobile,27,16,24,48.5,110.0,1.0,2.72
243,2025-01-05,D03,Khulna,Youtube,Mobile,21,12,19,40.1,103.0,1.0,2.44
244,2025-01-05,D03,Khulna,Referral/Ngo Partner,Mobile,16,9,14,55.4,64.0,0.0,2.02
245,2025-01-05,D03,Khulna,Facebook Ads,Desktop,17,9,15,50.6,71.0,0.0,1.58
246,2025-01-05,D04,Mymensingh,Facebook Ads,Mobile,49,31,44,45.8,71.0,1.0,2.28
247,2025-01-05,D04,Mymensingh,Youtube,Desktop,79,46,72,48.0,98.0,1.0,1.62
248,2025-01-05,D04,Mymensingh,Youtube,Desktop,28,21,27,49.1,94.0,1.0,2.35
249,2025-01-05,D04,Mymensingh,Facebook Ads,Mobile,18,11,17,40.1,69.0,0.0,2.19
250,2025-01-05,D04,Mymensingh,Referral/Ngo Partner,Mobile,12,8,11,45.3,91.0,0.0,2.43
251,2025-01-05,D04,Mymensingh,Referral/Ngo Partner,Mobile,18,11,16,51.8,157.0,0.0,1.85
252,2025-01-05,D04,Mymensingh,SMS Campaign,Mobile,18,14,16,54.4,93.0,0.0,2.02
253,2025-01-05,D05,Dhaka,Youtube,Mobile,69,45,63,55.6,122.0,1.0,1.66
254,2025-01-05,D05,Dhaka,SMS Campaign,Mobile,90,58,77,44.0,94.0,1.0,1.43
255,2025-01-05,D05,Dhaka,Youtube,Mobile,48,35,41,53.7,118.0,1.0,1.9
256,2025-01-05,D05,Dhaka,Youtube,Mobile,37,27,35,37.0,82.0,1.0,1.88
257,2025-01-05,D05,Dhaka,Google Ads,Mobile,34,23,32,54.7,90.0,1.0,1.74
258,2025-01-05,D05,Dhaka,Direct,Mobile,16,10,14,46.3,104.0,0.0,1.72
259,2025-01-05,D05,Dhaka,Youtube,Desktop,17,11,16,53.2,104.0,0.0,1.8
260,2025-01-05,D06,Barishal,Facebook Ads,Desktop,39,31,37,53.4,66.0,1.0,1.65
261,2025-01-05,D06,Barishal,Youtube,Mobile,62,40,60,55.5,82.0,1.0,1.63
262,2025-01-05,D06,Barishal,Google Ads,Mobile,22,14,20,51.6,109.0,0.0,2.23
263,2025-01-05,D06,Barishal,Youtube,Mobile,15,11,13,42.2,97.0,0.0,2.02
264,2025-01-05,D06,Barishal,Organic Search,Mobile,18,14,17,38.2,121.0,0.0,1.23
265,2025-01-05,D06,Barishal,SMS Campaign,Mobile,13,10,12,40.9,95.0,0.0,1.96
