order_id,date,customer_id,division_id,division_name,district_name,product_id,device_model,channel,quantity,unit_price_bdt,discount_pct,total_amount_bdt,payment_method
ORD00051,2025-01-07,C01209,D02,Rangpur,Gaibandha,P01,Matir Doctor Lite,FairFarm Website,3,2500,0,7500.0,Rocket
ORD00064,2025-01-08,C01106,D06,Barishal,Bhola,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Nagad
ORD00068,2025-01-08,C01380,D03,Khulna,Bagerhat,P01,Matir Doctor Lite,FairFarm App,2,2500,0,5000.0,Cash on Delivery
ORD00067,2025-01-08,C00895,D06,Barishal,Barishal,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,bKash
ORD00066,2025-01-08,C00517,D03,Khulna,Khulna,P02,Matir Doctor Pro,FairFarm Website,2,4800,0,9600.0,Nagad
ORD00063,2025-01-08,C00060,D01,Rajshahi,Natore,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,1,7900,0,7900.0,bKash
ORD00065,2025-01-08,C00042,D07,Chattogram,Comilla,P01,Matir Doctor Lite,FairFarm App,2,2500,0,5000.0,bKash
ORD00061,2025-01-08,C01407,D08,Sylhet,Moulvibazar,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Nagad
ORD00060,2025-01-08,C01239,D02,Rangpur,Dinajpur,P02,Matir Doctor Pro,FairFarm Website,2,4800,0,9600.0,Cash on Delivery
ORD00062,2025-01-08,C00612,D05,Dhaka,Dhaka,P03,Matir Doctor Pro+ (NPK),FairFarm App,2,7900,0,15800.0,Cash on Delivery
ORD00059,2025-01-08,C01096,D03,Khulna,Jashore,P01,Matir Doctor Lite,Facebook Shop,2,2500,0,5000.0,bKash
ORD00058,2025-01-08,C01067,D03,Khulna,Khulna,P02,Matir Doctor Pro,FairFarm Website,1,4800,0,4800.0,bKash
ORD00057,2025-01-08,C01185,D02,Rangpur,Kurigram,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,bKash
ORD00078,2025-01-09,C00548,D01,Rajshahi,Natore,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,bKash
ORD00077,2025-01-09,C01126,D04,Mymensingh,Jamalpur,P01,Matir Doctor Lite,Field Dealer Network,2,2500,0,5000.0,Nagad
ORD00076,2025-01-09,C00438,D04,Mymensingh,Jamalpur,P03,Matir Doctor Pro+ (NPK),FairFarm Website,2,7900,0,15800.0,bKash
ORD00075,2025-01-09,C00317,D03,Khulna,Jashore,P01,Matir Doctor Lite,Field Dealer Network,3,2500,0,7500.0,Nagad
ORD00074,2025-01-09,C00578,D05,Dhaka,Gazipur,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,Nagad
ORD00073,2025-01-09,C00855,D02,Rangpur,Dinajpur,P02,Matir Doctor Pro,FairFarm Website,1,4800,5,4560.0,Cash on Delivery
ORD00072,2025-01-09,C01329,D02,Rangpur,Kurigram,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,1,7900,0,7900.0,Rocket
ORD00071,2025-01-09,C00621,D06,Barishal,Bhola,P01,Matir Doctor Lite,Field Dealer Network,2,2500,0,5000.0,bKash
ORD00070,2025-01-09,C01426,D03,Khulna,Bagerhat,P01,Matir Doctor Lite,Field Dealer Network,1,2500,10,2250.0,Rocket
ORD00069,2025-01-09,C00127,D03,Khulna,Bagerhat,P02,Matir Doctor Pro,Field Dealer Network,2,4800,0,9600.0,bKash
ORD00090,2025-01-10,C01330,D02,Rangpur,Kurigram,P01,Matir Doctor Lite,Facebook Shop,2,2500,0,5000.0,Bank Transfer
ORD00091,2025-01-10,C00846,D07,Chattogram,Chattogram,P01,Matir Doctor Lite,FairFarm Website,2,2500,0,5000.0,bKash
ORD00089,2025-01-10,C00772,D05,Dhaka,Dhaka,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,Cash on Delivery
ORD00088,2025-01-10,C00802,D03,Khulna,Khulna,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,bKash
ORD00087,2025-01-10,C00910,D02,Rangpur,Kurigram,P01,Matir Doctor Lite,FairFarm App,3,2500,0,7500.0,bKash
ORD00086,2025-01-10,C01383,D04,Mymensingh,Netrokona,P02,Matir Doctor Pro,FairFarm App,3,4800,5,13680.0,Cash on Delivery
ORD00080,2025-01-10,C00263,D03,Khulna,Jashore,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Cash on Delivery
ORD00084,2025-01-10,C01346,D05,Dhaka,Dhaka,P02,Matir Doctor Pro,Field Dealer Network,2,4800,0,9600.0,bKash
ORD00083,2025-01-10,C01182,D01,Rajshahi,Pabna,P02,Matir Doctor Pro,FairFarm Website,2,4800,0,9600.0,Bank Transfer
ORD00082,2025-01-10,C00920,D04,Mymensingh,Mymensingh,P01,Matir Doctor Lite,FairFarm App,2,2500,0,5000.0,Bank Transfer
ORD00081,2025-01-10,C00153,D01,Rajshahi,Rajshahi,P01,Matir Doctor Lite,Field Dealer Network,2,2500,0,5000.0,Bank Transfer
ORD00079,2025-01-10,C00200,D03,Khulna,Satkhira,P01,Matir Doctor Lite,Facebook Shop,1,2500,0,2500.0,bKash
ORD00085,2025-01-10,C00375,D01,Rajshahi,Pabna,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,bKash
ORD00103,2025-01-11,C01460,D03,Khulna,Satkhira,P02,Matir Doctor Pro,FairFarm App,2,4800,0,9600.0,Nagad
ORD00102,2025-01-11,C01243,D03,Khulna,Khulna,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,Bank Transfer
ORD00101,2025-01-11,C00645,D05,Dhaka,Narayanganj,P01,Matir Doctor Lite,Field Dealer Network,3,2500,10,6750.0,Nagad
ORD00100,2025-01-11,C01287,D03,Khulna,Khulna,P02,Matir Doctor Pro,FairFarm App,2,4800,0,9600.0,Nagad
ORD00099,2025-01-11,C00014,D07,Chattogram,Comilla,P01,Matir Doctor Lite,Field Dealer Network,2,2500,0,5000.0,Cash on Delivery
ORD00098,2025-01-11,C00753,D02,Rangpur,Dinajpur,P03,Matir Doctor Pro+ (NPK),FairFarm App,1,7900,0,7900.0,Bank Transfer
ORD00096,2025-01-11,C01023,D08,Sylhet,Habiganj,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,bKash
ORD00095,2025-01-11,C01038,D03,Khulna,Khulna,P01,Matir Doctor Lite,FairFarm App,3,2500,10,6750.0,bKash
ORD00094,2025-01-11,C01304,D02,Rangpur,Kurigram,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,bKash
ORD00093,2025-01-11,C00749,D06,Barishal,Bhola,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Bank Transfer
ORD00092,2025-01-11,C01355,D07,Chattogram,Comilla,P01,Matir Doctor Lite,FairFarm Website,1,2500,5,2375.0,Nagad
ORD00097,2025-01-11,C01265,D05,Dhaka,Narayanganj,P01,Matir Doctor Lite,FairFarm App,3,2500,0,7500.0,bKash
ORD00104,2025-01-12,C00613,D08,Sylhet,Habiganj,P03,Matir Doctor Pro+ (NPK),FairFarm Website,2,7900,0,15800.0,Bank Transfer
ORD00105,2025-01-12,C01400,D03,Khulna,Bagerhat,P01,Matir Doctor Lite,FairFarm Website,2,2500,5,4750.0,Nagad
ORD00106,2025-01-12,C00100,D08,Sylhet,Habiganj,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,1,7900,0,7900.0,bKash
ORD00107,2025-01-12,C00693,D02,Rangpur,Kurigram,P01,Matir Doctor Lite,Facebook Shop,2,2500,0,5000.0,bKash
ORD00108,2025-01-12,C00815,D01,Rajshahi,Rajshahi,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,bKash
ORD00109,2025-01-12,C00145,D04,Mymensingh,Jamalpur,P01,Matir Doctor Lite,FairFarm Website,2,2500,0,5000.0,bKash
ORD00110,2025-01-12,C01307,D05,Dhaka,Narayanganj,P02,Matir Doctor Pro,Facebook Shop,1,4800,0,4800.0,bKash
ORD00111,2025-01-12,C00598,D05,Dhaka,Dhaka,P01,Matir Doctor Lite,Field Dealer Network,2,2500,0,5000.0,bKash
ORD00115,2025-01-13,C00662,D07,Chattogram,Chattogram,P02,Matir Doctor Pro,FairFarm Website,1,4800,0,4800.0,Cash on Delivery
ORD00114,2025-01-13,C00598,D05,Dhaka,Dhaka,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,Nagad
ORD00112,2025-01-13,C00783,D04,Mymensingh,Mymensingh,P01,Matir Doctor Lite,FairFarm Website,2,2500,0,5000.0,Nagad
ORD00113,2025-01-13,C00713,D06,Barishal,Barishal,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,bKash
ORD00116,2025-01-14,C01030,D03,Khulna,Bagerhat,P01,Matir Doctor Lite,FairFarm App,2,2500,0,5000.0,Cash on Delivery
ORD00117,2025-01-14,C00043,D05,Dhaka,Tangail,P01,Matir Doctor Lite,FairFarm Website,3,2500,0,7500.0,Cash on Delivery
ORD00118,2025-01-14,C00964,D01,Rajshahi,Pabna,P02,Matir Doctor Pro,FairFarm Website,2,4800,0,9600.0,Rocket
ORD00126,2025-01-15,C00200,D03,Khulna,Satkhira,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Bank Transfer
ORD00125,2025-01-15,C00850,D08,Sylhet,Sylhet,P02,Matir Doctor Pro,FairFarm App,3,4800,0,14400.0,Bank Transfer
ORD00124,2025-01-15,C00960,D04,Mymensingh,Netrokona,P02,Matir Doctor Pro,FairFarm Website,2,4800,5,9120.0,Cash on Delivery
ORD00123,2025-01-15,C00027,D04,Mymensingh,Mymensingh,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,bKash
ORD00122,2025-01-15,C00130,D05,Dhaka,Gazipur,P02,Matir Doctor Pro,Field Dealer Network,1,4800,5,4560.0,bKash
ORD00120,2025-01-15,C01339,D07,Chattogram,Chattogram,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Rocket
ORD00119,2025-01-15,C01161,D01,Rajshahi,Pabna,P03,Matir Doctor Pro+ (NPK),FairFarm App,2,7900,0,15800.0,Rocket
ORD00121,2025-01-15,C00208,D05,Dhaka,Gazipur,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,Cash on Delivery
ORD00133,2025-01-16,C01038,D03,Khulna,Khulna,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,bKash
ORD00135,2025-01-16,C00310,D01,Rajshahi,Rajshahi,P01,Matir Doctor Lite,Field Dealer Network,2,2500,10,4500.0,Nagad
ORD00134,2025-01-16,C01439,D07,Chattogram,Feni,P02,Matir Doctor Pro,FairFarm Website,1,4800,5,4560.0,Nagad
ORD00132,2025-01-16,C00169,D03,Khulna,Jashore,P01,Matir Doctor Lite,Field Dealer Network,2,2500,5,4750.0,bKash
ORD00130,2025-01-16,C01050,D02,Rangpur,Rangpur,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Cash on Delivery
ORD00131,2025-01-16,C00223,D05,Dhaka,Dhaka,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,bKash
ORD00129,2025-01-16,C01399,D05,Dhaka,Narayanganj,P01,Matir Doctor Lite,FairFarm App,3,2500,0,7500.0,Cash on Delivery
ORD00128,2025-01-16,C01269,D04,Mymensingh,Netrokona,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,Cash on Delivery
ORD00127,2025-01-16,C00787,D06,Barishal,Patuakhali,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,bKash
ORD00136,2025-01-17,C00344,D05,Dhaka,Gazipur,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Nagad
ORD00137,2025-01-17,C00387,D05,Dhaka,Tangail,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Nagad
ORD00138,2025-01-17,C00308,D05,Dhaka,Gazipur,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Cash on Delivery
ORD00139,2025-01-17,C01351,D06,Barishal,Barishal,P02,Matir Doctor Pro,FairFarm Website,2,4800,0,9600.0,Nagad
ORD00140,2025-01-17,C00113,D02,Rangpur,Kurigram,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,Cash on Delivery
ORD00141,2025-01-17,C00394,D05,Dhaka,Gazipur,P02,Matir Doctor Pro,Field Dealer Network,2,4800,5,9120.0,bKash
ORD00142,2025-01-17,C00256,D06,Barishal,Patuakhali,P01,Matir Doctor Lite,FairFarm Website,3,2500,0,7500.0,Cash on Delivery
ORD00143,2025-01-17,C00565,D05,Dhaka,Tangail,P02,Matir Doctor Pro,Facebook Shop,3,4800,0,14400.0,Nagad
ORD00152,2025-01-18,C01270,D04,Mymensingh,Jamalpur,P02,Matir Doctor Pro,FairFarm App,2,4800,0,9600.0,bKash
ORD00151,2025-01-18,C00279,D07,Chattogram,Chattogram,P02,Matir Doctor Pro,FairFarm Website,1,4800,0,4800.0,Nagad
ORD00149,2025-01-18,C00519,D01,Rajshahi,Rajshahi,P02,Matir Doctor Pro,FairFarm App,3,4800,10,12960.0,Cash on Delivery
ORD00148,2025-01-18,C00963,D01,Rajshahi,Pabna,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,bKash
ORD00150,2025-01-18,C01253,D01,Rajshahi,Pabna,P02,Matir Doctor Pro,FairFarm Website,3,4800,0,14400.0,Nagad
ORD00146,2025-01-18,C00436,D02,Rangpur,Dinajpur,P03,Matir Doctor Pro+ (NPK),FairFarm Website,1,7900,0,7900.0,bKash
ORD00145,2025-01-18,C00446,D05,Dhaka,Dhaka,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,2,7900,0,15800.0,bKash
ORD00144,2025-01-18,C00946,D02,Rangpur,Rangpur,P02,Matir Doctor Pro,FairFarm Website,2,4800,5,9120.0,Nagad
ORD00147,2025-01-18,C00537,D04,Mymensingh,Netrokona,P01,Matir Doctor Lite,Field Dealer Network,2,2500,0,5000.0,bKash
ORD00161,2025-01-19,C01360,D02,Rangpur,Gaibandha,P03,Matir Doctor Pro+ (NPK),FairFarm App,1,7900,0,7900.0,Cash on Delivery
ORD00160,2025-01-19,C00999,D08,Sylhet,Sylhet,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,Nagad
ORD00158,2025-01-19,C01024,D04,Mymensingh,Jamalpur,P01,Matir Doctor Lite,Facebook Shop,3,2500,5,7125.0,bKash
ORD00157,2025-01-19,C01169,D06,Barishal,Barishal,P01,Matir Doctor Lite,Field Dealer Network,3,2500,0,7500.0,Cash on Delivery
ORD00159,2025-01-19,C00565,D05,Dhaka,Tangail,P02,Matir Doctor Pro,FairFarm Website,3,4800,0,14400.0,Cash on Delivery
ORD00155,2025-01-19,C01223,D07,Chattogram,Cox's Bazar,P02,Matir Doctor Pro,Field Dealer Network,2,4800,10,8640.0,Nagad
ORD00154,2025-01-19,C00495,D06,Barishal,Barishal,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,2,7900,0,15800.0,Cash on Delivery
ORD00153,2025-01-19,C00942,D07,Chattogram,Cox's Bazar,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,Bank Transfer
ORD00156,2025-01-19,C00413,D01,Rajshahi,Natore,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Cash on Delivery
ORD00171,2025-01-20,C00395,D01,Rajshahi,Rajshahi,P02,Matir Doctor Pro,FairFarm Website,1,4800,0,4800.0,bKash
ORD00177,2025-01-20,C01091,D02,Rangpur,Kurigram,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,Cash on Delivery
ORD00176,2025-01-20,C01200,D06,Barishal,Barishal,P01,Matir Doctor Lite,Facebook Shop,2,2500,0,5000.0,bKash
ORD00175,2025-01-20,C00534,D05,Dhaka,Gazipur,P03,Matir Doctor Pro+ (NPK),FairFarm App,2,7900,0,15800.0,Cash on Delivery
ORD00174,2025-01-20,C00011,D03,Khulna,Satkhira,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Rocket
ORD00173,2025-01-20,C00457,D08,Sylhet,Sylhet,P02,Matir Doctor Pro,FairFarm Website,3,4800,0,14400.0,bKash
ORD00172,2025-01-20,C01219,D05,Dhaka,Narayanganj,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,bKash
ORD00170,2025-01-20,C01121,D05,Dhaka,Gazipur,P02,Matir Doctor Pro,Facebook Shop,1,4800,0,4800.0,bKash
ORD00163,2025-01-20,C01416,D06,Barishal,Bhola,P02,Matir Doctor Pro,FairFarm Website,3,4800,5,13680.0,bKash
ORD00168,2025-01-20,C01121,D05,Dhaka,Gazipur,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,bKash
ORD00167,2025-01-20,C00976,D05,Dhaka,Gazipur,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,3,7900,10,21330.0,bKash
ORD00166,2025-01-20,C00274,D05,Dhaka,Tangail,P01,Matir Doctor Lite,Field Dealer Network,1,2500,5,2375.0,Bank Transfer
ORD00165,2025-01-20,C01355,D07,Chattogram,Comilla,P03,Matir Doctor Pro+ (NPK),Facebook Shop,1,7900,0,7900.0,bKash
ORD00164,2025-01-20,C01051,D05,Dhaka,Dhaka,P01,Matir Doctor Lite,Field Dealer Network,3,2500,0,7500.0,Nagad
ORD00162,2025-01-20,C00659,D05,Dhaka,Tangail,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,Nagad
ORD00169,2025-01-20,C01479,D04,Mymensingh,Netrokona,P01,Matir Doctor Lite,FairFarm App,2,2500,5,4750.0,Rocket
ORD00187,2025-01-21,C01231,D02,Rangpur,Dinajpur,P01,Matir Doctor Lite,FairFarm App,1,2500,5,2375.0,bKash
ORD00186,2025-01-21,C00304,D04,Mymensingh,Jamalpur,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,1,7900,5,7505.0,bKash
ORD00185,2025-01-21,C00754,D04,Mymensingh,Netrokona,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,bKash
ORD00184,2025-01-21,C00994,D02,Rangpur,Dinajpur,P02,Matir Doctor Pro,Field Dealer Network,1,4800,5,4560.0,Nagad
ORD00183,2025-01-21,C01193,D07,Chattogram,Feni,P01,Matir Doctor Lite,FairFarm App,2,2500,0,5000.0,Nagad
ORD00181,2025-01-21,C01017,D05,Dhaka,Gazipur,P01,Matir Doctor Lite,Facebook Shop,1,2500,0,2500.0,Cash on Delivery
ORD00180,2025-01-21,C00818,D04,Mymensingh,Jamalpur,P01,Matir Doctor Lite,FairFarm Website,2,2500,0,5000.0,Rocket
ORD00179,2025-01-21,C00440,D05,Dhaka,Tangail,P03,Matir Doctor Pro+ (NPK),FairFarm Website,3,7900,0,23700.0,bKash
ORD00178,2025-01-21,C00437,D01,Rajshahi,Rajshahi,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,bKash
ORD00182,2025-01-21,C00092,D05,Dhaka,Narayanganj,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,Cash on Delivery
ORD00196,2025-01-22,C00603,D07,Chattogram,Comilla,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Bank Transfer
ORD00202,2025-01-22,C01495,D03,Khulna,Jashore,P01,Matir Doctor Lite,Facebook Shop,1,2500,0,2500.0,bKash
ORD00201,2025-01-22,C01084,D07,Chattogram,Feni,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,1,7900,0,7900.0,bKash
