ticket_id,date,customer_id,division_id,division_name,category,channel,resolution_time_hrs,status,csat_score
TKT00183,2025-06-13,C01025,D05,Dhaka,Connectivity Issue,Hotline Call,11.3,Escalated,5
TKT01079,2025-06-13,C00534,D05,Dhaka,Billing & Payment,Field Agent Visit,10.3,Resolved,2
TKT00425,2025-06-14,C00903,D01,Rajshahi,Sensor Calibration,In-App Chat,8.5,Escalated,4
TKT00381,2025-06-17,C00452,D07,Chattogram,Device Setup,Facebook Page,5.7,Resolved,4
TKT00490,2025-06-18,C00413,D01,Rajshahi,Connectivity Issue,In-App Chat,2.1,Resolved,2
TKT01202,2025-06-19,C00922,D07,Chattogram,Sensor Calibration,In-App Chat,12.2,Resolved,5
TKT01059,2025-06-20,C01222,D02,Rangpur,Connectivity Issue,Hotline Call,11.1,Resolved,2
TKT01095,2025-06-22,C01461,D06,Barishal,Device Setup,Hotline Call,1.6,Resolved,3
TKT00047,2025-06-24,C01147,D06,Barishal,Billing & Payment,In-App Chat,4.9,Resolved,4
TKT01245,2025-06-24,C00412,D05,Dhaka,App/Website Issue,In-App Chat,4.6,Escalated,5
TKT00746,2025-06-25,C00616,D06,Barishal,App/Website Issue,Facebook Page,1.5,Resolved,3
TKT00007,2025-06-26,C00020,D05,Dhaka,App/Website Issue,In-App Chat,4.4,Resolved,3
TKT00453,2025-06-26,C01498,D05,Dhaka,Device Setup,Facebook Page,2.0,Resolved,4
TKT00339,2025-06-27,C01293,D04,Mymensingh,Billing & Payment,In-App Chat,6.8,Pending,2
TKT00128,2025-06-27,C00948,D07,Chattogram,Sensor Calibration,Hotline Call,5.7,Resolved,3
TKT00444,2025-06-27,C00533,D03,Khulna,Device Setup,Facebook Page,1.5,Resolved,3
TKT00619,2025-06-27,C01302,D05,Dhaka,Device Setup,In-App Chat,11.7,Resolved,3
TKT00678,2025-06-28,C01434,D01,Rajshahi,Device Setup,In-App Chat,3.3,Resolved,5
TKT01105,2025-06-29,C00390,D07,Chattogram,Sensor Calibration,Hotline Call,1.3,Resolved,4
TKT00972,2025-07-01,C01082,D07,Chattogram,Sensor Calibration,Hotline Call,9.6,Resolved,4
TKT00450,2025-07-02,C00067,D04,Mymensingh,Billing & Payment,In-App Chat,0.5,Resolved,4
TKT00944,2025-07-03,C00865,D01,Rajshahi,Device Setup,In-App Chat,0.5,Resolved,3
TKT00418,2025-07-04,C01054,D01,Rajshahi,App/Website Issue,Hotline Call,8.6,Resolved,4
TKT00919,2025-07-05,C01320,D07,Chattogram,Device Setup,Hotline Call,4.1,Resolved,3
TKT01168,2025-07-05,C01152,D07,Chattogram,App/Website Issue,Hotline Call,2.0,Resolved,5
TKT00160,2025-07-05,C00361,D07,Chattogram,Billing & Payment,In-App Chat,2.6,Resolved,4
TKT00942,2025-07-05,C00312,D03,Khulna,App/Website Issue,Field Agent Visit,7.4,Escalated,3
TKT00912,2025-07-07,C00058,D05,Dhaka,Sensor Calibration,Field Agent Visit,1.5,Resolved,3
TKT00739,2025-07-07,C00336,D05,Dhaka,Connectivity Issue,Hotline Call,6.9,Resolved,3
TKT01011,2025-07-08,C00079,D04,Mymensingh,Device Setup,Field Agent Visit,4.6,Pending,4
TKT01104,2025-07-09,C01310,D08,Sylhet,Sensor Calibration,Facebook Page,12.7,Resolved,3
TKT00054,2025-07-09,C00476,D02,Rangpur,Connectivity Issue,Hotline Call,1.6,Resolved,2
TKT01029,2025-07-11,C00988,D01,Rajshahi,App/Website Issue,Hotline Call,2.9,Resolved,3
TKT00541,2025-07-12,C00651,D03,Khulna,Device Setup,In-App Chat,7.2,Resolved,3
TKT00836,2025-07-14,C00865,D01,Rajshahi,App/Website Issue,Hotline Call,5.3,Resolved,3
TKT00702,2025-07-16,C00534,D05,Dhaka,App/Website Issue,In-App Chat,4.3,Resolved,4
TKT00366,2025-07-17,C01050,D02,Rangpur,Connectivity Issue,In-App Chat,13.9,Resolved,4
TKT00966,2025-07-17,C00939,D07,Chattogram,Device Setup,Field Agent Visit,3.9,Resolved,5
TKT00544,2025-07-17,C01380,D03,Khulna,Billing & Payment,Facebook Page,3.7,Pending,3
TKT00816,2025-07-18,C01426,D03,Khulna,Sensor Calibration,In-App Chat,6.1,Pending,3
TKT01101,2025-07-18,C01079,D05,Dhaka,Sensor Calibration,Hotline Call,7.2,Resolved,4
TKT00027,2025-07-19,C00472,D04,Mymensingh,Sensor Calibration,Facebook Page,4.8,Escalated,4
TKT00916,2025-07-19,C00197,D05,Dhaka,Device Setup,In-App Chat,2.2,Resolved,4
TKT00102,2025-07-19,C00652,D07,Chattogram,Sensor Calibration,Facebook Page,23.1,Resolved,4
TKT00091,2025-07-19,C00818,D04,Mymensingh,Connectivity Issue,Facebook Page,5.3,Resolved,4
TKT00975,2025-07-19,C01255,D01,Rajshahi,Device Setup,Hotline Call,3.9,Resolved,3
TKT00392,2025-07-19,C00017,D04,Mymensingh,Sensor Calibration,Facebook Page,5.2,Resolved,2
TKT00501,2025-07-20,C00012,D07,Chattogram,App/Website Issue,In-App Chat,5.5,Resolved,2
TKT00841,2025-07-22,C00498,D05,Dhaka,Billing & Payment,In-App Chat,2.1,Resolved,3
TKT00533,2025-07-22,C00192,D02,Rangpur,Device Setup,Hotline Call,5.4,Resolved,3
TKT00870,2025-07-23,C00164,D01,Rajshahi,App/Website Issue,Hotline Call,12.6,Resolved,5
TKT00561,2025-07-24,C00297,D08,Sylhet,App/Website Issue,Hotline Call,12.0,Resolved,5
TKT00269,2025-07-25,C01093,D02,Rangpur,Billing & Payment,Facebook Page,6.1,Resolved,4
TKT00991,2025-07-27,C01076,D03,Khulna,General Inquiry,Field Agent Visit,2.6,Resolved,3
TKT01217,2025-07-27,C00549,D06,Barishal,General Inquiry,In-App Chat,0.5,Resolved,4
TKT00775,2025-07-28,C00198,D07,Chattogram,App/Website Issue,Facebook Page,7.7,Resolved,2
TKT00752,2025-07-28,C01370,D03,Khulna,Connectivity Issue,Facebook Page,39.5,Resolved,4
TKT00976,2025-07-29,C00832,D04,Mymensingh,App/Website Issue,Field Agent Visit,3.3,Resolved,2
TKT00394,2025-07-30,C01158,D01,Rajshahi,Sensor Calibration,In-App Chat,7.6,Resolved,3
TKT00451,2025-07-31,C00129,D01,Rajshahi,Sensor Calibration,In-App Chat,5.3,Resolved,4
TKT00811,2025-07-31,C01373,D03,Khulna,General Inquiry,In-App Chat,3.4,Resolved,4
TKT01173,2025-08-02,C01097,D02,Rangpur,Connectivity Issue,Hotline Call,22.5,Resolved,4
TKT01138,2025-08-02,C01244,D01,Rajshahi,Connectivity Issue,Hotline Call,5.0,Resolved,5
TKT01248,2025-08-03,C00932,D03,Khulna,Device Setup,In-App Chat,1.7,Resolved,4
TKT00744,2025-08-03,C01110,D02,Rangpur,Billing & Payment,In-App Chat,5.0,Resolved,4
TKT00835,2025-08-04,C00304,D04,Mymensingh,General Inquiry,Hotline Call,2.7,Resolved,4
TKT01096,2025-08-04,C00590,D01,Rajshahi,Sensor Calibration,Field Agent Visit,7.6,Resolved,4
TKT00761,2025-08-04,C00555,D01,Rajshahi,Device Setup,Facebook Page,6.7,Pending,4
TKT00311,2025-08-06,C00813,D08,Sylhet,Device Setup,Hotline Call,3.7,Resolved,4
TKT00943,2025-08-06,C00515,D03,Khulna,Connectivity Issue,Hotline Call,2.3,Resolved,4
TKT00280,2025-08-06,C00932,D03,Khulna,General Inquiry,In-App Chat,1.3,Resolved,4
TKT00079,2025-08-07,C00034,D03,Khulna,Device Setup,In-App Chat,7.1,Resolved,5
TKT00225,2025-08-09,C00987,D03,Khulna,Device Setup,Hotline Call,8.7,Resolved,5
TKT00065,2025-08-09,C00363,D01,Rajshahi,Connectivity Issue,In-App Chat,18.8,Resolved,4
TKT00658,2025-08-11,C00412,D05,Dhaka,Device Setup,Field Agent Visit,11.2,Resolved,4
TKT00296,2025-08-12,C00469,D01,Rajshahi,App/Website Issue,Facebook Page,4.9,Resolved,4
TKT00542,2025-08-12,C00134,D03,Khulna,Sensor Calibration,Hotline Call,2.6,Resolved,4
TKT00142,2025-08-12,C00337,D01,Rajshahi,Device Setup,Field Agent Visit,3.6,Resolved,5
TKT01004,2025-08-15,C00199,D02,Rangpur,Device Setup,Hotline Call,4.1,Escalated,5
TKT00911,2025-08-15,C00394,D05,Dhaka,Connectivity Issue,In-App Chat,10.3,Resolved,3
TKT00963,2025-08-15,C01100,D02,Rangpur,General Inquiry,Field Agent Visit,4.8,Resolved,3
TKT00827,2025-08-16,C00032,D08,Sylhet,Connectivity Issue,Facebook Page,4.2,Pending,3
TKT00676,2025-08-18,C01024,D04,Mymensingh,App/Website Issue,In-App Chat,9.5,Resolved,4
TKT00965,2025-08-19,C00867,D07,Chattogram,Connectivity Issue,Facebook Page,5.0,Resolved,4
TKT00383,2025-08-20,C00985,D01,Rajshahi,App/Website Issue,Hotline Call,4.5,Resolved,5
TKT00525,2025-08-20,C00463,D08,Sylhet,Device Setup,Hotline Call,1.3,Resolved,4
TKT00713,2025-08-21,C01265,D05,Dhaka,Connectivity Issue,In-App Chat,2.7,Escalated,3
TKT01118,2025-08-21,C01163,D07,Chattogram,Billing & Payment,Hotline Call,3.2,Resolved,2
TKT00668,2025-08-22,C01086,D06,Barishal,Connectivity Issue,In-App Chat,17.2,Resolved,4
TKT00210,2025-08-22,C01222,D02,Rangpur,Sensor Calibration,In-App Chat,10.7,Resolved,3
TKT00901,2025-08-22,C00017,D04,Mymensingh,Device Setup,Hotline Call,11.6,Resolved,2
TKT00584,2025-08-23,C00748,D03,Khulna,Device Setup,In-App Chat,11.6,Resolved,4
TKT00828,2025-08-23,C01203,D07,Chattogram,Billing & Payment,Hotline Call,6.6,Resolved,4
TKT00763,2025-08-23,C00788,D03,Khulna,Device Setup,In-App Chat,16.2,Resolved,4
TKT00273,2025-08-23,C01490,D04,Mymensingh,Device Setup,In-App Chat,3.4,Resolved,3
TKT00193,2025-08-23,C00676,D03,Khulna,Billing & Payment,Facebook Page,2.9,Resolved,3
TKT00560,2025-08-24,C00066,D04,Mymensingh,Connectivity Issue,Field Agent Visit,9.9,Resolved,3
TKT00875,2025-08-24,C00854,D07,Chattogram,Device Setup,In-App Chat,4.3,Resolved,3
TKT00871,2025-08-25,C00207,D01,Rajshahi,Sensor Calibration,Hotline Call,8.3,Resolved,4
TKT01199,2025-08-25,C01139,D01,Rajshahi,Sensor Calibration,In-App Chat,0.9,Resolved,4
TKT00716,2025-08-25,C01233,D02,Rangpur,Device Setup,Hotline Call,2.8,Resolved,4
TKT01098,2025-08-25,C00457,D08,Sylhet,Connectivity Issue,In-App Chat,0.5,Resolved,5
TKT00795,2025-08-26,C00923,D05,Dhaka,Connectivity Issue,Field Agent Visit,13.3,Resolved,3
TKT00379,2025-08-26,C00865,D01,Rajshahi,App/Website Issue,Hotline Call,3.3,Resolved,3
TKT00227,2025-08-26,C00321,D07,Chattogram,Sensor Calibration,Hotline Call,6.5,Resolved,2
TKT01055,2025-08-27,C00202,D08,Sylhet,Billing & Payment,Field Agent Visit,3.6,Resolved,3
TKT00769,2025-08-30,C01229,D07,Chattogram,App/Website Issue,In-App Chat,6.9,Resolved,3
TKT00935,2025-08-30,C00638,D05,Dhaka,App/Website Issue,Field Agent Visit,8.7,Resolved,4
TKT00333,2025-08-30,C01152,D07,Chattogram,Device Setup,Field Agent Visit,1.5,Resolved,2
TKT01001,2025-08-30,C00684,D04,Mymensingh,Connectivity Issue,Field Agent Visit,13.9,Resolved,3
TKT01189,2025-08-31,C01107,D01,Rajshahi,App/Website Issue,In-App Chat,6.3,Resolved,3
TKT00651,2025-08-31,C01075,D07,Chattogram,Device Setup,In-App Chat,8.0,Escalated,4
TKT00113,2025-09-01,C00914,D08,Sylhet,Device Setup,In-App Chat,16.8,Escalated,3
TKT00223,2025-09-01,C01408,D01,Rajshahi,Billing & Payment,In-App Chat,4.5,Resolved,4
TKT00711,2025-09-01,C00778,D02,Rangpur,Device Setup,In-App Chat,11.0,Resolved,4
TKT00748,2025-09-02,C00032,D08,Sylhet,Device Setup,Hotline Call,5.4,Pending,4
TKT00185,2025-09-02,C01031,D05,Dhaka,Sensor Calibration,Hotline Call,3.3,Resolved,5
TKT00255,2025-09-03,C00195,D01,Rajshahi,App/Website Issue,Hotline Call,9.9,Resolved,3
TKT00959,2025-09-03,C01146,D03,Khulna,Connectivity Issue,In-App Chat,11.2,Resolved,4
TKT01205,2025-09-05,C00258,D01,Rajshahi,Connectivity Issue,In-App Chat,9.0,Resolved,4
TKT00754,2025-09-06,C01484,D02,Rangpur,Device Setup,Field Agent Visit,5.5,Resolved,4
TKT00467,2025-09-06,C00850,D08,Sylhet,App/Website Issue,In-App Chat,4.0,Resolved,3
TKT01237,2025-09-07,C00212,D05,Dhaka,General Inquiry,In-App Chat,1.1,Resolved,3
TKT00704,2025-09-07,C01393,D01,Rajshahi,App/Website Issue,In-App Chat,1.9,Pending,4
TKT00323,2025-09-07,C00834,D05,Dhaka,Billing & Payment,Hotline Call,1.9,Resolved,4
TKT01042,2025-09-08,C01020,D04,Mymensingh,Billing & Payment,In-App Chat,3.5,Resolved,3
TKT00131,2025-09-08,C00812,D01,Rajshahi,Device Setup,In-App Chat,0.6,Resolved,3
TKT00439,2025-09-09,C00208,D05,Dhaka,App/Website Issue,In-App Chat,1.6,Resolved,4
TKT01060,2025-09-10,C00828,D02,Rangpur,Device Setup,In-App Chat,2.3,Resolved,3
TKT00190,2025-09-10,C00195,D01,Rajshahi,Connectivity Issue,In-App Chat,28.4,Escalated,3
TKT00437,2025-09-11,C00515,D03,Khulna,Billing & Payment,Hotline Call,1.3,Resolved,4
TKT00209,2025-09-11,C00215,D05,Dhaka,General Inquiry,Facebook Page,2.9,Resolved,3
TKT00150,2025-09-12,C00941,D02,Rangpur,Connectivity Issue,In-App Chat,0.9,Resolved,4
TKT00621,2025-09-12,C00192,D02,Rangpur,Connectivity Issue,In-App Chat,4.8,Resolved,4
TKT00854,2025-09-12,C00159,D06,Barishal,Billing & Payment,In-App Chat,2.7,Resolved,4
TKT00461,2025-09-13,C00618,D03,Khulna,Device Setup,Facebook Page,16.6,Resolved,4
TKT00218,2025-09-14,C01430,D04,Mymensingh,General Inquiry,Hotline Call,1.6,Escalated,3
TKT00860,2025-09-15,C01023,D08,Sylhet,Billing & Payment,In-App Chat,2.3,Resolved,4
TKT01147,2025-09-15,C00329,D05,Dhaka,Connectivity Issue,Facebook Page,12.0,Resolved,3
TKT00125,2025-09-15,C00110,D07,Chattogram,General Inquiry,In-App Chat,2.2,Resolved,4
TKT00238,2025-09-16,C00965,D08,Sylhet,Connectivity Issue,Hotline Call,11.8,Resolved,5
TKT00494,2025-09-16,C00135,D05,Dhaka,Device Setup,In-App Chat,7.9,Resolved,3
TKT00529,2025-09-16,C00079,D04,Mymensingh,App/Website Issue,In-App Chat,0.6,Resolved,5
TKT00266,2025-09-16,C00496,D04,Mymensingh,Connectivity Issue,Field Agent Visit,6.0,Resolved,3
TKT00356,2025-09-17,C00628,D01,Rajshahi,App/Website Issue,In-App Chat,1.1,Resolved,3
TKT01116,2025-09-17,C00863,D06,Barishal,Connectivity Issue,Field Agent Visit,3.8,Resolved,4
TKT00326,2025-09-17,C00709,D03,Khulna,Connectivity Issue,In-App Chat,13.6,Resolved,5
TKT00762,2025-09-18,C00538,D02,Rangpur,Sensor Calibration,Facebook Page,4.9,Resolved,4
TKT00408,2025-09-18,C01071,D07,Chattogram,Connectivity Issue,Field Agent Visit,2.5,Resolved,3
TKT00611,2025-09-18,C00204,D01,Rajshahi,General Inquiry,In-App Chat,3.3,Resolved,5
TKT00281,2025-09-19,C00832,D04,Mymensingh,App/Website Issue,Facebook Page,3.5,Resolved,3
TKT00410,2025-09-20,C00089,D02,Rangpur,App/Website Issue,In-App Chat,2.4,Resolved,4
TKT00794,2025-09-20,C00798,D02,Rangpur,Connectivity Issue,Hotline Call,10.6,Resolved,3
TKT00229,2025-09-21,C01299,D06,Barishal,Connectivity Issue,Hotline Call,19.8,Escalated,5
TKT00660,2025-09-21,C01498,D05,Dhaka,Sensor Calibration,Hotline Call,12.2,Resolved,3
TKT00313,2025-09-23,C01364,D01,Rajshahi,App/Website Issue,Hotline Call,3.8,Resolved,4
TKT01218,2025-09-23,C00731,D03,Khulna,App/Website Issue,In-App Chat,3.2,Resolved,4
TKT00595,2025-09-24,C01265,D05,Dhaka,Connectivity Issue,Field Agent Visit,3.2,Resolved,3
TKT00968,2025-09-25,C00655,D07,Chattogram,Connectivity Issue,Hotline Call,13.4,Resolved,4
TKT00629,2025-09-25,C00889,D02,Rangpur,App/Website Issue,Field Agent Visit,8.0,Resolved,3
TKT00075,2025-09-26,C00679,D01,Rajshahi,Sensor Calibration,In-App Chat,8.2,Resolved,5
TKT00035,2025-09-26,C00576,D04,Mymensingh,Billing & Payment,In-App Chat,0.7,Resolved,4
TKT00441,2025-09-26,C00313,D02,Rangpur,Sensor Calibration,Hotline Call,19.6,Resolved,3
TKT00988,2025-09-26,C01432,D05,Dhaka,Connectivity Issue,Facebook Page,3.2,Resolved,2
TKT00396,2025-09-28,C01302,D05,Dhaka,App/Website Issue,In-App Chat,3.9,Pending,4
TKT00851,2025-09-28,C00835,D06,Barishal,Device Setup,Facebook Page,10.6,Resolved,3
TKT00932,2025-09-29,C01003,D01,Rajshahi,Device Setup,Field Agent Visit,8.9,Resolved,3
TKT00257,2025-09-29,C00693,D02,Rangpur,Billing & Payment,Hotline Call,2.3,Escalated,3
TKT01229,2025-10-01,C01455,D03,Khulna,Connectivity Issue,In-App Chat,10.1,Resolved,3
TKT00341,2025-10-01,C00902,D02,Rangpur,Device Setup,Facebook Page,8.8,Resolved,4
TKT01121,2025-10-02,C01364,D01,Rajshahi,App/Website Issue,Facebook Page,4.2,Resolved,4
TKT00329,2025-10-02,C00402,D07,Chattogram,Sensor Calibration,In-App Chat,5.8,Resolved,3
TKT00385,2025-10-02,C00121,D05,Dhaka,Connectivity Issue,In-App Chat,11.5,Resolved,3
TKT00543,2025-10-02,C01045,D01,Rajshahi,App/Website Issue,In-App Chat,3.1,Resolved,2
TKT01221,2025-10-03,C00624,D04,Mymensingh,Sensor Calibration,In-App Chat,14.4,Resolved,4
TKT00536,2025-10-03,C00895,D06,Barishal,Billing & Payment,In-App Chat,2.3,Resolved,3
TKT00673,2025-10-03,C01115,D08,Sylhet,General Inquiry,In-App Chat,1.1,Resolved,4
TKT00112,2025-10-04,C00934,D06,Barishal,Sensor Calibration,Field Agent Visit,10.5,Resolved,5
TKT01090,2025-10-04,C00693,D02,Rangpur,Billing & Payment,Facebook Page,3.8,Resolved,5
TKT00087,2025-10-04,C01353,D02,Rangpur,App/Website Issue,Facebook Page,4.9,Resolved,4
TKT00228,2025-10-05,C01251,D01,Rajshahi,App/Website Issue,Hotline Call,2.0,Resolved,3
TKT00317,2025-10-05,C01006,D03,Khulna,General Inquiry,In-App Chat,1.3,Escalated,4
TKT00872,2025-10-05,C00904,D04,Mymensingh,Device Setup,In-App Chat,10.2,Resolved,1
TKT00166,2025-10-05,C01336,D07,Chattogram,Device Setup,Hotline Call,11.6,Escalated,3
TKT01097,2025-10-06,C01137,D04,Mymensingh,Connectivity Issue,Facebook Page,18.5,Resolved,3
TKT00448,2025-10-07,C00185,D06,Barishal,Sensor Calibration,Facebook Page,1.9,Resolved,4
TKT01132,2025-10-08,C00331,D06,Barishal,Device Setup,Facebook Page,9.1,Resolved,3
TKT00567,2025-10-08,C01178,D03,Khulna,General Inquiry,In-App Chat,1.8,Resolved,4
TKT00144,2025-10-08,C01449,D05,Dhaka,App/Website Issue,In-App Chat,3.1,Resolved,3
